longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-119.75,36.83,15.0,2793.0,436.0,1411.0,441.0,4.9292,109400.0,INLAND
-121.81577830909347,36.94079808148673,30.0,2481.0,467.0,1885.0,471.0,2.701930481972692,186839.0,<1H OCEAN
-120.645026874573,35.264832241419505,15.0,2462.0,459.0,1266.0,463.0,2.4813271975354896,232210.0,NEAR OCEAN
-117.22449419709979,33.209556290058316,18.0,3587.0,691.0,1133.0,577.0,2.030099069251098,155619.0,<1H OCEAN
-123.78,40.05,17.0,2019.0,496.0,899.0,347.0,2.1864,101900.0,<1H OCEAN
-118.31,33.9,30.0,2407.0,581.0,1724.0,531.0,3.4792,194700.0,<1H OCEAN
-118.27,33.97,34.0,1462.0,394.0,1310.0,351.0,1.1557,90100.0,<1H OCEAN
-118.07,33.89,17.0,2223.0,544.0,2008.0,512.0,3.0777,160800.0,<1H OCEAN
-117.96,33.78,33.0,1520.0,,658.0,242.0,4.875,269300.0,<1H OCEAN
-121.76,38.41,19.0,686.0,107.0,348.0,109.0,3.9306,93800.0,INLAND
-117.91,33.63,32.0,1901.0,400.0,946.0,418.0,2.7264,311100.0,<1H OCEAN
-118.072378813422,34.576422988439916,14.0,3783.0,816.0,2230.0,823.0,2.998141888159835,122058.0,INLAND
-122.92,39.08,24.0,341.0,64.0,146.0,57.0,4.0,166300.0,INLAND
-122.43,37.72,52.0,3351.0,719.0,2101.0,706.0,3.0107,242000.0,NEAR BAY
-116.98,32.71,18.0,2355.0,444.0,1277.0,433.0,3.4551,121400.0,<1H OCEAN
-117.23,32.85,25.0,4229.0,601.0,1634.0,574.0,6.3955,316700.0,NEAR OCEAN
-121.7747348056326,37.68331192649322,45.0,1352.0,291.0,615.0,289.0,4.6662932208628,212228.0,INLAND
-117.13,32.75,28.0,2279.0,671.0,1166.0,623.0,1.95,150000.0,NEAR OCEAN
-120.04359570667796,38.857673503721514,17.0,2592.0,479.0,706.0,258.0,3.848405139972031,119493.0,INLAND
-117.01,32.71,20.0,3506.0,692.0,1977.0,668.0,2.981,129100.0,NEAR OCEAN
-121.92,37.27,29.0,5536.0,862.0,2651.0,881.0,5.6358,282100.0,<1H OCEAN
-118.59,34.21,26.0,2335.0,669.0,1986.0,645.0,2.9974,178800.0,<1H OCEAN
-118.36,33.98,39.0,813.0,185.0,344.0,154.0,3.5833,218800.0,<1H OCEAN
-118.12,33.84,37.0,1242.0,221.0,565.0,213.0,4.1094,215800.0,<1H OCEAN
-123.1,39.36,19.0,1056.0,248.0,611.0,226.0,1.746,105000.0,INLAND
-122.34294778493516,40.55202537887375,15.0,2571.0,500.0,1455.0,506.0,2.385498267449523,76056.0,INLAND
-117.02,32.84,17.0,4013.0,673.0,2263.0,661.0,5.131,148300.0,<1H OCEAN
-118.39,34.22,40.0,712.0,149.0,533.0,155.0,3.695,165200.0,<1H OCEAN
-122.01557575044879,38.2442805988893,10.0,7069.0,1211.0,3815.0,1026.0,3.7130971863755686,140402.0,INLAND
-117.9,34.15,21.0,2056.0,461.0,1332.0,429.0,3.3942,212800.0,INLAND
-121.86015025342674,37.022894850883716,15.0,9132.0,1400.0,3821.0,1280.0,5.330506154396366,345289.0,<1H OCEAN
-118.14755267778483,34.59425147191713,8.0,2347.0,360.0,1024.0,363.0,7.109880512082968,278454.0,INLAND
-116.46084528751703,33.62637835793342,8.0,1163.0,272.0,479.0,183.0,2.8475899872150072,113080.0,INLAND
-118.07,34.07,19.0,1554.0,393.0,1427.0,370.0,3.125,207100.0,<1H OCEAN
-122.44633843416533,37.77296650792174,52.0,2039.0,462.0,1997.0,419.0,3.8653429353500206,419106.0,NEAR BAY
-120.38,37.99,36.0,2864.0,603.0,1155.0,565.0,2.3571,113400.0,INLAND
-118.3467565795674,33.89614633233704,22.0,2224.0,464.0,1319.0,500.0,4.851392038875584,211931.0,<1H OCEAN
