feature,lasso_coef,abs_coef
longitude,-97433.68288952863,97433.68288952863
latitude,-92271.17833761277,92271.17833761277
median_income,89289.0661269776,89289.0661269776
ocean_proximity_INLAND,-37211.72469654266,37211.72469654266
population,-34616.71758754461,34616.71758754461
households,33186.975178888926,33186.975178888926
housing_median_age,20088.14226378835,20088.14226378835
bedrooms_per_room,17926.24542246136,17926.24542246136
total_rooms,5380.760372474519,5380.760372474519
rooms_per_household,5160.712785754158,5160.712785754158
ocean_proximity_NEAR OCEAN,4334.953207844049,4334.953207844049
total_bedrooms,875.2027997872046,875.2027997872046
ocean_proximity_NEAR BAY,-785.0213875456865,785.0213875456865
population_per_household,114.27868639249684,114.27868639249684
ocean_proximity_<1H OCEAN,0.0,0.0
ocean_proximity_ISLAND,0.0,0.0
