feature,lower_bound,upper_bound,outlier_count,outlier_rate
B,331.3893215263525,436.20640708418847,134,0.134
CRIM,-5.217355143389665,8.927884755857097,127,0.127
ZN,-17.90597965127679,29.84329941879465,125,0.125
MEDV,2.5374999999999996,40.237500000000004,75,0.075
CHAS,0.0,0.0,66,0.066
RM,4.7571416944263705,7.7687638426227155,65,0.065
LSTAT,-8.333230984410582,32.07614724235029,12,0.012
DIS,-2.5415900739603265,9.711674044376196,8,0.008
NOX,0.18407860472746584,0.9018895116928434,2,0.002
PTRATIO,12.199967262017454,25.000019642789525,1,0.001
INDUS,-14.325000000000006,37.55500000000001,0,0.0
TAX,-267.0,1189.0,0,0.0
AGE,-27.32499999999999,166.875,0,0.0
RAD,-24.5,51.5,0,0.0
