feature,importance_mean,importance_std
LSTAT,0.17575,0.029507414322505435
RM,0.05074999999999996,0.015105876340020773
DIS,0.03125000000000001,0.014821858857781619
CRIM,0.031,0.012509996003196779
AGE,0.0295,0.017385338650713685
INDUS,0.016250000000000014,0.009470348462437914
B,0.013250000000000012,0.010985786271359925
RAD,0.009250000000000008,0.003269174207655508
NOX,0.008500000000000008,0.010012492197250401
TAX,0.003250000000000003,0.00481534007106456
CHAS,-0.0007500000000000007,0.0017853571071357144
ZN,-0.0010000000000000009,0.002549509756796395
PTRATIO,-0.0010000000000000009,0.006819090848492935
