feature,lasso_coef,abs_coef
DIS,-6.444027711686367,6.444027711686367
RAD,4.535994995444672,4.535994995444672
LSTAT,-3.9314596240182684,3.9314596240182684
NOX,-3.5878029652687897,3.5878029652687897
RM,3.5491920922521847,3.5491920922521847
PTRATIO,-3.3768660997166724,3.3768660997166724
TAX,-3.3322405428295703,3.3322405428295703
CHAS,2.168678604983166,2.168678604983166
AGE,-2.032578607683699,2.032578607683699
INDUS,-1.14114474850191,1.14114474850191
CRIM,-1.1291056872758658,1.1291056872758658
B,0.2121067171257905,0.2121067171257905
ZN,0.04180131104953895,0.04180131104953895
