feature,lower_bound,upper_bound,outlier_count,outlier_rate
ZN,-1.9064763825091378,3.17746063751523,244,0.244
CRIM,-4.324029784430738,7.442136307384563,150,0.15
B,342.6463968325771,428.1493386123715,147,0.147
MEDV,3.3060385218089277,38.90247732491139,77,0.077
RM,4.767901122950922,7.762031258948245,73,0.073
CHAS,0.0,0.0,66,0.066
LSTAT,-7.576335366754636,31.13857372676179,14,0.014
DIS,-2.5252659549876,9.70239957299256,7,0.007
NOX,0.179803956122017,0.9017176263267899,0,0.0
INDUS,-13.880715745517945,37.28842944731077,0,0.0
TAX,-294.0818212207297,1234.0054217567524,0,0.0
RAD,-25.525006686430395,53.20834447738399,0,0.0
AGE,-23.853359345845817,164.43201560750748,0,0.0
PTRATIO,12.137500000000005,25.037499999999994,0,0.0
