feature,importance_mean,importance_std
LSTAT,0.4284104273130739,0.07269257565163031
RM,0.41016702424258034,0.03311960994658358
CHAS,0.04696489376291642,0.01459362199123997
DIS,0.04519490437312661,0.004409154262583716
NOX,0.03473141982715607,0.004321373509874251
PTRATIO,0.030118771239737736,0.004441268475709764
CRIM,0.024908605106690018,0.0026808201323355323
TAX,0.02295996909345594,0.002635306814470923
RAD,0.012902957496123375,0.0019372287776746185
INDUS,0.011436614442041481,0.0020443861789886985
AGE,0.011430420363916467,0.0022940413017698874
B,0.011227697578172357,0.002529922052238679
ZN,0.00045445804051894023,0.00070079378234949
